,FileName,CreateDate,Duration,SourceImageWidth,SourceImageHeight,CameraModelName,ShutterSpeed,FNumber,ISO,ClosestDatalog
0,P1060059.MP4,2022:09:08 21:07:22.978,0:00:40,3840,2160,DC-FZ80,1/60,8.0,80,08_Sep_2022_21_16_28.txt
1,P1060060.MP4,2022:09:08 21:08:05.909,0:00:32,3840,2160,DC-FZ80,1/60,8.0,80,08_Sep_2022_21_16_28.txt
2,P1060061_v1.MP4,2022:09:08 21:13:12.852,0:01:04,3840,2160,DC-FZ80,1/60,8.0,80,08_Sep_2022_21_16_28.txt
3,P1060062_v2.MP4,2022:09:08 21:15:04.695,0:01:51,3840,2160,DC-FZ80,1/60,8.0,80,08_Sep_2022_21_16_28.txt
4,P1060063_v3.MP4,2022:09:08 21:17:18.110,0:02:08,3840,2160,DC-FZ80,1/60,8.0,80,08_Sep_2022_21_19_18.txt
5,P1060064.MP4,2022:09:08 21:19:53.532,1.50 s,3840,2160,DC-FZ80,1/60,8.0,80,08_Sep_2022_21_21_38.txt
6,P1060068.MP4,2022:09:08 21:38:58.456,0:02:12,3840,2160,DC-FZ80,1/100,5.6,125,08_Sep_2022_21_43_21.txt
7,P1060069.MP4,2022:09:08 21:41:21.411,4.50 s,3840,2160,DC-FZ80,1/100,5.6,125,08_Sep_2022_21_43_21.txt
8,P1060070.MP4,2022:09:08 21:45:25.502,0:02:24,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_21_50_01.txt
9,P1060071.MP4,2022:09:08 21:48:19.527,0:01:24,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_21_50_01.txt
10,P1060072.MP4,2022:09:08 21:51:11.713,0:02:29,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_21_52_57.txt
11,P1060073.MP4,2022:09:08 21:54:43.980,0:02:52,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_21_55_52.txt
12,P1060074.MP4,2022:09:08 22:00:03.060,0:02:05,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_04_21.txt
13,P1060075.MP4,2022:09:08 22:02:45.605,0:02:21,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_04_21.txt
14,P1060076.MP4,2022:09:08 22:06:17.221,0:01:26,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_07_13.txt
15,P1060077.MP4,2022:09:08 22:08:00.974,0:02:02,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_09_58.txt
16,P1060078.MP4,2022:09:08 22:10:13.046,0:02:04,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_12_14.txt
17,P1060079.MP4,2022:09:08 22:15:41.169,0:02:11,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_20_04.txt
18,P1060080.MP4,2022:09:08 22:26:13.802,0:01:45,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_30_04.txt
19,P1060081.MP4,2022:09:08 22:28:14.236,0:02:04,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_30_04.txt
20,P1060082.MP4,2022:09:08 22:31:16.812,0:02:23,1920,1080,DC-FZ80,1/60,5.0,100,08_Sep_2022_22_32_31.txt
21,P1060089.MP4,2022:09:08 22:35:47.000,1.00 s,1920,1080,DC-FZ80,1/100,4.0,100,08_Sep_2022_22_35_45.txt
22,P1060091.MP4,2022:09:08 22:36:54.333,0:02:20,1920,1080,DC-FZ80,1/125,8.0,100,08_Sep_2022_22_41_18.txt
23,P1060092.MP4,2022:09:08 22:39:24.786,0:02:12,1920,1080,DC-FZ80,1/125,8.0,100,08_Sep_2022_22_41_18.txt
24,P1060093.MP4,2022:09:08 22:41:45.170,0:02:15,1920,1080,DC-FZ80,1/125,8.0,100,08_Sep_2022_22_43_43.txt
25,P1060094.MP4,2022:09:08 22:47:48.110,0:02:03,3840,2160,DC-FZ80,1/30,8.0,100,08_Sep_2022_22_52_03.txt
26,P1060095.MP4,2022:09:08 22:50:11.073,0:01:59,3840,2160,DC-FZ80,1/30,8.0,100,08_Sep_2022_22_52_03.txt
27,P1060096.MP4,2022:09:08 22:52:24.915,0:02:03,3840,2160,DC-FZ80,1/30,8.0,100,08_Sep_2022_22_54_23.txt
28,MVI_0351.MOV,2022:09:08 11:39:02.82,0:01:40,1920,1080,Canon EOS Rebel T7,1/50,5.6,100,08_Sep_2022_23_40_39.txt
29,MVI_0356.MOV,2022:09:08 11:42:06.61,0:01:55,1920,1080,Canon EOS Rebel T7,1/50,5.6,100,08_Sep_2022_23_42_50.txt
30,MVI_0357.MOV,2022:09:08 11:44:17.44,0:02:09,1920,1080,Canon EOS Rebel T7,1/50,5.6,100,08_Sep_2022_23_45_14.txt
31,MVI_0358.MOV,2022:09:08 11:46:34.04,0:02:19,1920,1080,Canon EOS Rebel T7,1/50,5.6,100,08_Sep_2022_23_47_48.txt
32,MVI_0359.MOV,2022:09:08 11:51:47.31,0:01:57,1920,1080,Canon EOS Rebel T7,1/60,5.6,100,08_Sep_2022_23_52_40.txt
33,MVI_0360.MOV,2022:09:08 11:53:57.03,0:02:01,1920,1080,Canon EOS Rebel T7,1/60,5.6,100,08_Sep_2022_23_54_52.txt
34,MVI_0361.MOV,2022:09:08 11:56:21.00,0:02:00,1920,1080,Canon EOS Rebel T7,1/60,5.6,100,08_Sep_2022_23_57_16.txt
